AGE2,ALCDAYS,ALCDAYS,,,,AGE2,ALCDAYS,ALCDAYS,,,,,,,,,,,,,,,,,,,7,4910,4910,,,,,,,,,1,12,,1,12,,,,,,,,,,,,1,12,,1,12
18,25,1,,,,65+,22,20,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0",,,,,,,,,,,,,,,,,,,,25,707,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707",,,,,,,,,,,,25,707,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707"
18,28,1,,,,65+,23,4,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0",,,,,,,,,,,,,,,,,,,,26,182,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182",,,,,,,,,,,,26,182,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182"
,,,,,,65+,24,16,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4, 16",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,27,141,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141",,,,,,,,,,,,27,141,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141"
,,,,,,65+,25,118,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4, 16, 118",,,,,,,3,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0, 0, 3",,,,,,,,,,,,,,,,,,,,28,169,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169",,,,,,,,,,,,28,169,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169"
,,,,,,65+,26,24,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4, 16, 118, 24",,,,,,,1,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1",,,,,,,,,,,,,,,,,,,,29,49,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49",,,,,,,,,,,,29,49,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49"
19,91,1560,,,,65+,27,11,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4, 16, 118, 24, 11",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 0",,,,,,,,,,,,,,,,,,,,30,192,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192",,,,,,,,,,,,30,3192,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192"
19,93,1418,,,,65+,28,52,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4, 16, 118, 24, 11, 52",,,,,,,1,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 0, 1",,,,,,,,,,,,,,,,,,,,31,22,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22",,,,,,,,,,,,31,22,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22"
19,1,394,,,,65+,29,18,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4, 16, 118, 24, 11, 52, 18",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 0, 1, 0",,,,,,,,,,,,,,,,,,,,32,34,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34",,,,,,,,,,,,32,34,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34"
19,2,373,,,,65+,30,206,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4, 16, 118, 24, 11, 52, 18, 206",,,,,,,5,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 0, 1, 0, 5",,,,,,,,,,,,,,,,,,,,33,30,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30",,,,,,,,,,,,33,30,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30"
19,3,276,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,34,24,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24",,,,,,,,,,,,34,24,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24"
